114.95,4.4108
116.41,4.434
116.02,4.4475
114.53,4.4705
112.97,4.5692
112.29,4.5899
112.61,4.6041
113.49,4.6212
113.99,4.6405
113.53,4.6601
112.25,4.6997
110.92,4.7152
110.44,4.7296
111.01,4.7445
112.18,4.7614
112.94,4.7786
112.78,4.794
111.66,4.8095
110.4,4.8259
109.94,4.8985
110.51,4.9127
111.7,4.9263
112.49,4.9433
112.3,4.959
111.28,4.9751
110.09,4.991
109.49,5.045
110.09,5.061
111.21,5.0748
112.09,5.0943
112.02,5.1092
111.1,5.1238
109.75,5.1403
109.25,5.1568
109.69,5.1844
110.81,5.1988
111.76,5.2113
111.84,5.2267
110.9,5.2419
109.71,5.2579
109.04,5.3042
109.47,5.3199
110.61,5.3325
111.53,5.3494
111.68,5.3646
110.84,5.379
109.64,5.4228
109.09,5.4422
109.34,5.457
110.43,5.4754
111.46,5.4929
111.62,5.5082
110.81,5.5408
109.71,5.5596
108.97,5.5741
109.2,5.5927
110.24,5.6088
111.33,5.6276
111.57,5.6431
110.86,5.657
109.68,5.6741
108.92,5.6912
109.11,5.7329
110.16,5.7481
111.24,5.7609
111.59,5.7755
110.92,5.7946
109.72,5.8158
108.86,5.8301
109.15,5.8427
110.06,5.8595
111.16,5.9484
111.5,5.9626
110.87,5.9757
109.76,5.9928
108.91,6.0089
109.01,6.0253
109.95,6.0416
111.04,6.0673
111.44,6.0816
110.93,6.0944
109.81,6.1089
108.94,6.1263
108.97,6.1412
109.92,6.1858
111.03,6.1997
111.46,6.2124
110.95,6.2279
109.75,6.2433
108.94,6.2621
109.02,6.2896
109.82,6.3091
110.9,6.323
111.41,6.3407
110.98,6.3573
109.9,6.4192
108.96,6.4331
108.86,6.4456
109.74,6.4616
110.81,6.4756
111.32,6.4927
111,6.5379
109.95,6.553
108.99,6.566
108.8,6.5801
109.61,6.5949
110.69,6.6089
111.36,6.6545
111.02,6.6715
110.03,6.6842
108.94,6.6979
108.83,6.7121
109.53,6.7276
110.69,6.7753
111.25,6.7924
111.11,6.807
110.18,6.8214
109.08,6.8393
108.84,6.8567
109.47,6.8764
110.52,6.8915
111.23,6.9078
111.1,6.9284
110.16,6.9877
109.13,7.0038
108.88,7.0161
109.38,7.0301
110.48,7.0483
111.31,7.062
111.06,7.1203
110.18,7.1348
109.18,7.1478
108.76,7.1658
109.34,7.1802
110.35,7.198
111.23,7.2156
111.07,7.243
110.28,7.2609
109.21,7.2744
108.77,7.2886
109.27,7.3051
110.22,7.3201
111.09,7.3756
111.11,7.3934
110.37,7.4075
109.26,7.4263
108.79,7.4482
109.24,7.461
110.22,7.4757
111.07,7.4931
111.09,7.5106
110.38,7.5274
109.33,7.547
108.78,7.5603
109.17,7.5754
110.17,7.5928
111.05,7.6078
111.13,7.634
110.44,7.6483
109.46,7.6612
108.84,7.6758
109.12,7.693
110.06,7.7619
110.96,7.7763
111.14,7.7907
110.45,7.8078
109.45,7.8314
108.82,7.8448
109.05,7.8609
110.02,7.8751
110.86,7.8951
111.15,7.9511
110.67,7.9653
109.51,7.9776
108.84,7.9942
108.97,8.0161
109.89,8.0286
110.87,8.0432
111.12,8.0631
110.49,8.0795
109.56,8.1377
108.85,8.1548
109,8.1669
109.81,8.1807
110.79,8.195
111.12,8.2105
110.6,8.2297
109.62,8.2692
108.84,8.2843
108.93,8.2965
109.76,8.3108
110.78,8.3305
111.1,8.3451
110.62,8.397
109.68,8.4118
109.03,8.4273
108.93,8.4435
109.7,8.4638
110.66,8.4816
111.07,8.525
110.65,8.5437
109.7,8.5579
108.91,8.5737
108.89,8.5903
109.68,8.6068
110.61,8.6268
111.05,8.6532
110.63,8.6673
109.66,8.6798
108.94,8.6945
108.9,8.7084
109.57,8.7253
110.61,8.7759
111.01,8.7933
110.76,8.8068
109.82,8.8211
109.02,8.8373
108.95,8.8557
109.56,8.8996
110.5,8.9143
110.94,8.9283
110.75,8.9449
109.89,8.9665
109.01,8.979
108.86,8.9945
109.43,9.0089
110.4,9.0256
110.96,9.083
110.77,9.1017
109.91,9.114
109.04,9.1282
108.87,9.1421
109.42,9.1589
110.34,9.1734
110.94,9.1879
110.78,9.205
109.87,9.2198
109.09,9.2865
108.83,9.3008
109.39,9.3147
110.27,9.3299
110.93,9.3444
110.79,9.36
110.03,9.3806
109.15,9.394
108.79,9.4088
109.29,9.4256
110.15,9.4416
111.03,9.508
110.94,9.5257
110.36,9.5412
109.66,9.556
109.38,9.5732
110.02,9.5888
110.98,9.6059
111.89,9.6356
112,9.6508
111.38,9.6633
110.54,9.6814
110.35,9.6953
110.85,9.7094
111.79,9.727
112.72,9.7407
112.76,9.7555
112.23,9.7722
111.44,9.8144
111.14,9.8296
111.61,9.8419
112.55,9.8573
113.46,9.8769
113.57,9.9189
113,9.9341
112.25,9.9475
111.92,9.9619
112.43,9.9758
113.43,10.043
114.24,10.06
114.37,10.074
113.81,10.089
113.13,10.106
112.74,10.12
113.21,10.173
114.17,10.189
115.02,10.202
115.16,10.22
114.67,10.234
113.97,10.253
113.56,10.273
114.03,10.301
115,10.316
115.82,10.329
116.01,10.342
115.53,10.359
114.78,10.377
114.43,10.396
114.82,10.409
115.73,10.423
116.6,10.44
116.85,10.518
116.36,10.642
115.62,10.654
115.26,10.667
115.67,10.681
116.56,10.698
117.47,10.712
117.73,10.728
117.28,10.742
116.54,10.759
116.15,10.774
116.43,10.787
117.41,10.801
118.34,10.819
118.6,10.834
118.15,10.848
117.43,10.861
117.07,10.876
117.4,10.897
118.31,10.909
119.21,10.924
119.5,10.941
