0,0.885711309,4.950772247
0.01,0.887026391,13.17002862
0.01,0.887026391,23.03313628
0.02,0.88636885,34.54009524
0.03,0.886697621,46.04705422
0.04,0.88636885,59.19786452
0.05,0.885711309,73.99252614
0.06,0.885711309,82.21178261
0.07,0.887026391,95.36259299
0.08,0.885711309,105.2257008
0.09,0.886697621,118.3765112
0.1,0.885053768,133.171173
0.11,0.888012703,139.7465782
0.12,0.887683932,154.5412401
0.13,0.888012703,167.6920506
0.14,0.888012703,177.5551585
0.15,0.887683932,195.6375231
0.16,0.885711309,197.2813744
0.17,0.885382538,217.0075904
0.18,0.887683932,226.8706984
0.19,0.88636885,236.7338065
0.2,0.887355162,254.8161713
0.21,0.88636885,256.4600226
0.22,0.885711309,276.1862388
0.23,0.88636885,289.3370496
0.24,0.887355162,295.912455
0.25,0.887683932,312.3509686
0.26,0.88604008,317.2825227
0.27,0.887026391,337.0087391
0.28,0.88604008,343.5841446
0.29,0.885382538,358.378807
0.3,0.885382538,373.1734694
0.31,0.885711309,378.1050235
0.32,0.884067456,396.1873888
0.33,0.883081144,406.0504971
0.34,0.884067456,419.2013082
0.35,0.884396227,432.3521194
0.36,0.885053768,440.5713764
0.37,0.881766062,457.0098904
0.38,0.884396227,463.5852961
0.39,0.884396227,478.3799588
0.4,0.883409915,493.1746215
0.41,0.884396227,504.6815814
0.42,0.882423603,516.1885414
0.43,0.883409915,524.4077985
0.44,0.884067456,540.8463128
0.45,0.883409915,553.9971242
0.46,0.884396227,565.5040843
0.47,0.883738685,573.7233415
0.48,0.884067456,585.2303016
0.49,0.883738685,600.0249646
0.5,0.884396227,614.8196277
0.51,0.883738685,626.3265879
0.52,0.883409915,636.1896966
0.53,0.884724997,649.3405083
0.54,0.884067456,660.8474686
0.55,0.885053768,672.3544289
0.56,0.884724997,685.5052406
0.57,0.885053768,695.3683495
0.58,0.88604008,706.8753099
0.59,0.883409915,720.0261217
0.6,0.884396227,733.1769336
0.61,0.884396227,749.6154486
0.62,0.885711309,757.834706
0.63,0.884724997,769.3416665
0.64,0.885053768,779.2047756
0.65,0.885053768,790.7117361
0.66,0.883738685,802.2186967
0.67,0.886697621,817.0133603
0.68,0.884396227,826.8764694
0.69,0.884396227,838.3834301
0.7,0.883738685,853.1780938
0.71,0.884724997,864.6850545
0.72,0.884724997,876.1920152
0.73,0.884067456,887.698976
0.74,0.885053768,899.2059367
0.75,0.884067456,915.6444522
0.76,0.883738685,922.2198584
0.77,0.883409915,937.0145224
0.78,0.883081144,946.8776317
0.79,0.886697621,958.3845926
0.8,0.882423603,971.5354051
0.81,0.882094833,981.3985145
0.82,0.881108521,996.1931786
0.83,0.883409915,1004.412437
0.84,0.88077975,1019.207101
0.85,0.882423603,1034.001765
0.86,0.88045098,1042.221023
0.87,0.88045098,1058.659539
0.88,0.882423603,1065.234945
0.89,0.882094833,1076.741906
0.9,0.881766062,1094.824274
0.91,0.881108521,1099.755829
0.92,0.881437291,1119.482048
0.93,0.881108521,1124.413603
0.94,0.881766062,1137.564416
0.95,0.88045098,1157.290635
0.96,0.881437291,1158.934487
0.97,0.880122209,1178.660706
0.98,0.88077975,1185.236113
0.99,0.882423603,1200.030778
1,0.881766062,1211.537739
1.01,0.882752374,1223.044701
1.02,0.881437291,1236.195514
1.03,0.882423603,1246.058624
1.04,0.883409915,1260.853289
1.05,0.882094833,1272.36025
1.06,0.883409915,1287.154915
1.07,0.881766062,1295.374174
1.08,0.882423603,1306.881135
1.09,0.882423603,1320.031949
1.1,0.882094833,1329.895059
1.11,0.882094833,1343.045872
1.12,0.883409915,1354.552834
1.13,0.882752374,1367.703648
1.14,0.882423603,1377.566758
1.15,0.882423603,1392.361423
1.16,0.882094833,1407.156088
1.17,0.881437291,1417.019199
1.18,0.881766062,1430.170012
1.19,0.881766062,1441.676974
1.2,0.88077975,1453.183936
1.21,0.881437291,1464.690899
1.22,0.881108521,1477.841712
1.23,0.881437291,1489.348674
1.24,0.881437291,1497.567933
1.25,0.881437291,1514.006451
1.26,0.88045098,1523.869561
1.27,0.881108521,1535.376523
1.28,0.880122209,1550.171189
1.29,0.880122209,1556.746596
1.3,0.88077975,1574.828965
1.31,0.881108521,1581.404372
1.32,0.88077975,1597.84289
1.33,0.881437291,1606.062149
1.34,0.88077975,1617.569111
1.35,0.880122209,1634.007629
1.36,0.881108521,1638.939185
1.37,0.879793439,1657.021554
1.38,0.881437291,1661.95311
1.39,0.879793439,1678.391628
1.4,0.880122209,1694.830146
1.41,0.880122209,1701.405553
1.42,0.881766062,1716.200219
1.43,0.88045098,1724.419478
1.44,0.882094833,1739.214144
1.45,0.88077975,1752.364959
1.46,0.881108521,1760.584218
1.47,0.881108521,1775.378885
1.48,0.881437291,1785.241996
1.49,0.881108521,1800.036662
1.5,0.881437291,1816.475181
1.51,0.879464668,1819.762884
1.52,0.88077975,1836.201403
1.53,0.88077975,1849.352218
1.54,0.882423603,1859.215329
1.55,0.881108521,1875.653847
1.56,0.88077975,1882.229255
1.57,0.879793439,1897.023922
1.58,0.881766062,1906.887033
1.59,0.884067456,1921.6817
1.6,0.88077975,1936.476367
1.61,0.883738685,1941.407923
1.62,0.883081144,1956.20259
1.63,0.882423603,1969.353405
1.64,0.882094833,1979.216516
1.65,0.882423603,1990.723479
1.66,0.881766062,2003.874295
1.67,0.88077975,2017.02511
1.68,0.881437291,2026.888222
1.69,0.880122209,2040.039037
1.7,0.879793439,2053.189852
1.71,0.881108521,2061.409112
1.72,0.881108521,2074.559927
1.73,0.881108521,2086.066891
